价格,网址,商品名称,裸机重量,厚度,屏幕尺寸,待机时长,商品产地,屏幕色域,系统,显存,内存,硬盘,显卡
4499.0,//item.jd.com/100003335145.html,联想威6系列,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,9小时以上,中国大陆,100%sRGB,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
5769.0,//item.jd.com/100012037330.html,戴尔灵越5000,1.5-2kg,15.1mm—18.0mm,none,5-7小时,中国大陆,none,Windows 10,4GB,8G,512G SSD,入门级游戏独立显卡
5499.0,//item.jd.com/100006189287.html,华为MateBook 13,1-1.5KG,15.0mm及以下,13-13.9英寸,＞12小时,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
13699.0,//item.jd.com/100005855234.html,AppleMacBook Pro 13.3,1-1.5KG,none,none,9小时以上,中国大陆,none,MAC,none,none,none,集成显卡
8999.0,//item.jd.com/100005258005.html,ThinkPadP,none,20.0mm以上,15-15.9英寸,none,中国大陆,none,Windows 10,none,8G,256G SSD,其他
9499.0,//item.jd.com/100010774634.html,戴尔XPS 13,1-1.5KG,15.0mm及以下,15-15.9英寸,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
5799.0,//item.jd.com/100010259526.html,ThinkPadT,none,15.1mm—18.0mm,14-14.9英寸,none,中国大陆,none,Windows 10,none,16G,512G SSD,集成显卡
3999.0,//item.jd.com/100008645054.html,华硕FL8700,1.5-2kg,20.0mm以上,15-15.9英寸,小于5小时,中国大陆,none,Windows 10,none,4G,256G SSD,入门级游戏独立显卡
4419.0,//item.jd.com/100012037332.html,戴尔灵越5000,1.5-2kg,15.1mm—18.0mm,none,5-7小时,中国大陆,none,Windows 10,2GB,8G,256G SSD,入门级游戏独立显卡
8699.0,//item.jd.com/100013068396.html,戴尔G5,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,windows 10 Office,6G,16G,512G SSD,GTX1660Ti
6899.0,//item.jd.com/100008638952.html,ThinkPad翼490,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,2GB,8G,256G SSD+1T HDD,入门级游戏独立显卡
7499.0,//item.jd.com/100006743207.html,宏碁AN515,2-2.5kg,20.0mm—25.0mm,15.6英寸,7-9小时,中国大陆,72%NTSC,windows 10 Office,4G,16G,512G SSD,GTX1650Ti
2199.0,//item.jd.com/100004049003.html,宏碁EX215,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,7-9小时,中国大陆,none,Windows 10,4GB,4G,none,集成显卡
4799.0,//item.jd.com/100006392085.html,ThinkPadX,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,none,中国大陆,none,Windows 10,none,8G,512G SSD,集成显卡
7499.0,//item.jd.com/100009083154.html,联想拯救者,1.5-2kg,18.1mm—20.0mm,none,none,中国大陆,none,Windows 10,none,16G,512G SSD,none
3999.0,//item.jd.com/100011720498.html,小米RedmiBook 14,1-1.5KG,15.1mm—18.0mm,none,7-9小时,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
10999.0,//item.jd.com/100009083138.html,拯救者,1.5-2kg,18.1mm—20.0mm,none,none,中国大陆,none,Windows 10,none,16G,none,none
16999.0,//item.jd.com/100004302449.html,ThinkPadX1隐士,none,18.1mm—20.0mm,15-15.9英寸,none,中国大陆,none,Windows 10,none,16G,none,GTX MaxQ
5199.0,//item.jd.com/66609752663.html,华硕（ASUS）U3300FN,none,15.1mm—18.0mm,none,7-9小时,none,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
5199.0,//item.jd.com/100006842479.html,宏碁S40,none,15.1mm—18.0mm,14-14.9英寸,none,中国大陆,none,Windows 10,none,8G,512G SSD,MX350
5299.0,//item.jd.com/100008535980.html,联想小新Pro,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,＞12小时,中国大陆,100%sRGB,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
5499.0,//item.jd.com/100005205701.html,戴尔灵越5000,1.5-2kg,15.1mm—18.0mm,15-15.9英寸,5-7小时,中国大陆,none,Windows 10,4GB,8G,256G SSD,入门级游戏独立显卡
4699.0,//item.jd.com/68981252360.html,惠普（HP）HP15s-dr2002TX,1.5-2kg,18.1mm—20.0mm,none,none,none,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
5999.0,//item.jd.com/100010373884.html,ThinkPadE15,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,256G SSD+1T HDD,入门级游戏独立显卡
8499.0,//item.jd.com/100011387068.html,戴尔G5,2.5kg以上,20.0mm—25.0mm,15.6英寸,5-7小时,中国大陆,none,windows 10 Office,6G,8G,512G SSD,GTX1660Ti
10499.0,//item.jd.com/100002772399.html,ThinkPadT,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,512G SSD,入门级游戏独立显卡
10599.0,//item.jd.com/100012578678.html,未来人类游戏本,2.5kg以上,25.0mm以上,15.6英寸,小于5小时,中国大陆,72%NTSC,windows 10 不带Office,8G,16G,512G SSD+1T HDD,RTX2070
5699.0,//item.jd.com/100004347937.html,戴尔灵越13 7000,none,15.0mm及以下,13-13.9英寸,none,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
9999.0,//item.jd.com/100012955124.html,ROG幻14,1.5-2kg,20.0mm以下,14.0英寸,5-7小时,中国大陆,none,windows 10 不带Office,6G,8G,512G SSD,GTX1660Ti
13999.0,//item.jd.com/100005044357.html,ThinkPadX1 Carbon,none,15.0mm及以下,14-14.9英寸,9小时以上,中国大陆,none,Windows 10,none,16G,512G SSD,集成显卡
5699.0,//item.jd.com/100007539314.html,戴尔灵越 fit,1-1.5KG,15.1mm—18.0mm,none,none,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
4999.0,//item.jd.com/100006404041.html,机械革命机械革命,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,7-9小时,中国大陆,其他,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
4399.0,//item.jd.com/52143755234.html,联想（Lenovo）联想扬天V730,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,小于5小时,中国大陆,none,none,none,8G,512G SSD,集成显卡
5999.0,//item.jd.com/100005546829.html,戴尔灵越 fit,1.5-2kg,15.1mm—18.0mm,none,none,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
8999.0,//item.jd.com/100006729772.html,AppleMacBook Pro 13.3,1-1.5KG,none,none,9小时以上,中国大陆,none,MAC,none,none,none,集成显卡
5399.0,//item.jd.com/100010753078.html,华为华为 MateBook 14,1.5-2kg,15.1mm—18.0mm,14-14.9英寸,none,中国大陆,none,其他,none,8G,512G SSD,集成显卡
9599.0,//item.jd.com/100006691543.html,机械师T90,2-2.5kg,25.0mm以上,17.3英寸,小于5小时,中国大陆,none,其他,6G,16G,none,RTX2060
9728.0,//item.jd.com/100009972420.html,微软Surface Laptop 3,1-1.5KG,15.0mm及以下,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,none,8G,256G SSD,集成显卡
6466.0,//item.jd.com/66699780307.html,联想（Lenovo）小新Air14,1-1.5KG,15.1mm—18.0mm,none,none,none,none,Windows 10,2GB,16G,512G SSD,MX350
13999.0,//item.jd.com/100005601454.html,ROG魔霸3,2-2.5kg,25.0mm以上,15.6英寸,小于5小时,中国大陆,none,windows 10 不带Office,6G,16G,512G SSD,RTX2060
13999.0,//item.jd.com/100011260232.html,三星900系列,none,15.0mm及以下,15-15.9英寸,＞12小时,中国大陆,none,Windows 10,none,16G,none,MX250
6499.0,//item.jd.com/100004365309.html,戴尔灵越 fit,1-1.5KG,15.1mm—18.0mm,none,none,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
4899.0,//item.jd.com/100006881259.html,机械革命机械革命,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,7-9小时,中国大陆,其他,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
3599.0,//item.jd.com/100002775413.html,小米Air12,1-1.5KG,none,none,7-9小时,中国大陆,none,Windows 10,共享系统内存（集成）,4G,none,集成显卡
11999.0,//item.jd.com/100005099257.html,ThinkPadT,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
4199.0,//item.jd.com/100012038996.html,华硕顽石V4000,1.5-2kg,20.0mm以上,15-15.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,512G SSD,集成显卡
15999.0,//item.jd.com/100005526132.html,微星绝影GS65游戏本,1.5-2kg,20.0mm以下,15.6英寸,5-7小时,中国大陆,72%NTSC,windows 10 不带Office,6G,16G,512G SSD,RTX2060
8999.0,//item.jd.com/100013174332.html,戴尔灵越7000,none,18.1mm—20.0mm,none,none,中国大陆,none,Windows 10,4GB,8G,512G SSD,入门级游戏独立显卡
8699.0,//item.jd.com/100012345068.html,雷神新911,2-2.5kg,20.0mm—25.0mm,16.6英寸,小于5小时,中国大陆,72%NTSC,其他,6G,16G,256G SSD+1T HDD,RTX2060
4499.0,//item.jd.com/56080707369.html,惠普（HP）星13-an1016TU/an1017TU/an1021TU,1-1.5KG,15.1mm—18.0mm,none,9小时以上,none,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
12999.0,//item.jd.com/100006365927.html,LGgram,none,15.1mm—18.0mm,16英寸及以上,none,中国大陆,none,Windows 10,none,16G,none,集成显卡
7599.0,//item.jd.com/100009009806.html,ThinkPadT,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
3999.0,//item.jd.com/100006757348.html,小米Air12,1-1.5KG,none,none,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,4G,256G SSD,集成显卡
9299.0,//item.jd.com/100007255212.html,小米小米-游戏本,2.5kg以上,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,72%NTSC,windows 10 Office,6G,16G,512G SSD,RTX2060
6799.0,//item.jd.com/100009906626.html,ThinkPadX,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,none,8G,256G SSD,集成显卡
5699.0,//item.jd.com/100006745172.html,华为荣耀MagicBook Pro,1.5-2kg,15.1mm—18.0mm,16英寸及以上,＞12小时,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
7299.0,//item.jd.com/100009898514.html,戴尔Ins 15-7591,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,7-9小时,中国大陆,none,Windows 10,4GB,8G,none,入门级游戏独立显卡
6299.0,//item.jd.com/100006288373.html,联想拯救者Y7000,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,windows 10 Office,4G,8G,512G SSD,GTX1650
7699.0,//item.jd.com/5025869.html,戴尔XPS,1-1.5KG,15.0mm及以下,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,none,8G,256G SSD,集成显卡
3699.0,//item.jd.com/100010515558.html,小米小米笔记本,1-1.5KG,15.1mm—18.0mm,none,7-9小时,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
4599.0,//item.jd.com/100007934900.html,华为荣耀MagicBook,1.5-2kg,15.1mm—18.0mm,16英寸及以上,none,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
8399.0,//item.jd.com/100007999052.html,ThinkPadT,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,512G SSD,入门级游戏独立显卡
5499.0,//item.jd.com/100011934288.html,华为MateBook D,1.5-2kg,none,none,none,中国大陆,none,Windows 10,none,16G,512G SSD,入门级游戏独立显卡
6699.0,//item.jd.com/100013068430.html,惠普惠普ENVY13,1-1.5KG,15.1mm—18.0mm,none,none,中国大陆,none,Windows 10,2GB,8G,512G SSD,MX350
6499.0,//item.jd.com/100010213666.html,ThinkPadE系列,1.5-2kg,20.0mm以上,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,512G SSD,入门级游戏独立显卡
7499.0,//item.jd.com/100004470690.html,ThinkPadT480,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,256G SSD,入门级游戏独立显卡
7099.0,//item.jd.com/100010636928.html,戴尔G3,2-2.5kg,20.0mm—25.0mm,15.6英寸,9小时以上,中国大陆,none,windows 10 Office,6G,8G,512G SSD,GTX MaxQ
6799.0,//item.jd.com/100003169097.html,宏碁AN515,2-2.5kg,25.0mm以上,15.6英寸,小于5小时,中国大陆,none,windows 10 Office,4G,8G,512G SSD,GTX1650
6899.0,//item.jd.com/100012345010.html,雷神911Air星战,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,其他,4G,8G,256G SSD+1T HDD,GTX1650Ti
4799.0,//item.jd.com/100008350564.html,戴尔灵越5000,1.5-2kg,15.1mm—18.0mm,none,5-7小时,中国大陆,none,Windows 10,共享系统内存（集成）,8G,none,集成显卡
6599.0,//item.jd.com/67144459773.html,雷神（ThundeRobot）雷神911ST暗杀星2代,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,其他,4G,none,512G SSD,其他
15499.0,//item.jd.com/100008895696.html,ThinkPadX1 Yoga,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,9小时以上,中国大陆,none,Windows 10,none,16G,512G SSD,集成显卡
2199.0,//item.jd.com/100000503382.html,海尔博越M53,1.5-2kg,15.1mm—18.0mm,15-15.9英寸,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,4G,256G SSD,集成显卡
9499.0,//item.jd.com/100004681589.html,戴尔XPS 13,1-1.5KG,15.0mm及以下,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
6199.0,//item.jd.com/100007510950.html,戴尔灵越13 7000,none,15.0mm及以下,13-13.9英寸,none,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
3399.0,//item.jd.com/100012300542.html,华硕Y4200,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,2GB,4G,256G SSD,其他
6299.0,//item.jd.com/100008309360.html,联想Yoga,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,＞12小时,中国大陆,none,Windows 10,none,16G,512G SSD,集成显卡
6399.0,//item.jd.com/68204566250.html,华硕（ASUS）S4600FL,1-1.5KG,15.1mm—18.0mm,none,7-9小时,none,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
5299.0,//item.jd.com/69199960589.html,华硕（ASUS）V4050FP,none,15.1mm—18.0mm,14-14.9英寸,none,none,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
25999.0,//item.jd.com/100007765536.html,外星人ALWA51M,2.5kg以上,25.0mm以上,17.3英寸,小于5小时,中国大陆,none,windows 10 Office,8G,16G,none,RTX2070
5799.0,//item.jd.com/100010633416.html,ThinkPadE15,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,512G SSD,入门级游戏独立显卡
6399.0,//item.jd.com/100011585462.html,三星750系列,1.5-2kg,15.1mm—18.0mm,15-15.9英寸,none,中国大陆,none,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
2999.0,//item.jd.com/8596169.html,ThinkPadE480,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,none,4G,none,集成显卡
6299.0,//item.jd.com/100005625412.html,戴尔Ins 15-7591,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,7-9小时,中国大陆,none,Windows 10,3GB,8G,256G SSD,入门级游戏独立显卡
11988.0,//item.jd.com/100009996740.html,微软Surface Laptop 3,1-1.5KG,15.0mm及以下,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,none,16G,256G SSD,集成显卡
11988.0,//item.jd.com/100009996736.html,微软Surface Laptop 3,1-1.5KG,15.0mm及以下,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,none,16G,256G SSD,集成显卡
6899.0,//item.jd.com/65388967413.html,ThinkPadThinkPad E14,1.5-2kg,20.0mm以上,none,none,none,none,Windows 10,2GB,8G,128G SSD+1T HDD,入门级游戏独立显卡
11988.0,//item.jd.com/100009972498.html,微软Surface Laptop 3,1-1.5KG,15.0mm及以下,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,none,16G,256G SSD,集成显卡
9999.0,//item.jd.com/100009006240.html,ThinkPadT,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,2GB,8G,256G SSD,入门级游戏独立显卡
5499.0,//item.jd.com/100003861293.html,联想扬天,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,9小时以上,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
9999.0,//item.jd.com/100012099122.html,雷神新911,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,其他,8G,16G,512G SSD,RTX2070
16999.0,//item.jd.com/100011316470.html,戴尔XPS 13,1-1.5KG,15.0mm及以下,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,16G,none,集成显卡
16999.0,//item.jd.com/100011316494.html,戴尔XPS 13,1-1.5KG,15.0mm及以下,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,16G,none,集成显卡
2399.0,//item.jd.com/100012094880.html,海尔逸3000S,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,7-9小时,中国大陆,none,Windows 10,共享系统内存（集成）,8G,256G SSD,集成显卡
27999.0,//item.jd.com/100006906189.html,微星绝影2 GS66,2-2.5kg,20.0mm以下,15.6英寸,小于5小时,中国大陆,72%NTSC,windows 10 不带Office,8G,32G,none,RTX Super MaxQ
14999.0,//item.jd.com/100010653734.html,ThinkPadX1隐士,none,18.1mm—20.0mm,15-15.9英寸,none,中国大陆,none,Windows 10,none,16G,512G SSD,GTX MaxQ
5699.0,//item.jd.com/100007124481.html,惠普ENVYx360,1-1.5KG,15.1mm—18.0mm,none,none,中国大陆,none,Windows 10,none,8G,512G SSD,集成显卡
4099.0,//item.jd.com/62444253493.html,联想（Lenovo）联想扬天V330,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,none,中国大陆,none,Windows 10,none,12G,512G SSD,集成显卡
6099.0,//item.jd.com/100012207774.html,机械师T58-V,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,其他,4G,8G,512G SSD,GTX1650Ti
13999.0,//item.jd.com/100011436442.html,ThinkPadT,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,2GB,16G,none,入门级游戏独立显卡
5199.0,//item.jd.com/100011256976.html,华为荣耀MagicBook,1.5-2kg,15.1mm—18.0mm,16英寸及以上,none,中国大陆,none,Windows 10,共享系统内存（集成）,16G,512G SSD,集成显卡
6699.0,//item.jd.com/100008309784.html,华为MateBook 14,1.5-2kg,15.1mm—18.0mm,14-14.9英寸,none,中国大陆,none,其他,none,8G,512G SSD,入门级游戏独立显卡
6999.0,//item.jd.com/100009898502.html,戴尔灵越 fit,1.5-2kg,15.1mm—18.0mm,none,none,中国大陆,none,Windows 10,2GB,8G,none,入门级游戏独立显卡
8699.0,//item.jd.com/100008490538.html,华为MateBook X Pro,1-1.5KG,15.0mm及以下,13-13.9英寸,none,中国大陆,none,其他,none,8G,512G SSD,入门级游戏独立显卡
4799.0,//item.jd.com/100011719562.html,华硕a豆,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,9小时以上,中国大陆,none,Windows 10,none,8G,256G SSD,其他
5699.0,//item.jd.com/67417780028.html,惠普（HP）3085TX/3086TX/3090TX/3091TX/3089TX,1.5-2kg,15.1mm—18.0mm,none,9小时以上,none,none,Windows 10,2GB,16G,none,入门级游戏独立显卡
7999.0,//item.jd.com/46231093299.html,ThinkPadT480s,1-1.5KG,18.1mm—20.0mm,none,5-7小时,none,none,Windows 10,2GB,8G,512G SSD,none
3999.0,//item.jd.com/100010823992.html,华为MateBook D,1.5-2kg,15.1mm—18.0mm,none,none,中国大陆,none,其他,none,8G,256G SSD+1T HDD,集成显卡
5599.0,//item.jd.com/100005726386.html,小米Pro 15.6,1.5-2kg,15.1mm—18.0mm,none,5-7小时,中国大陆,none,Windows 10,4GB,8G,256G SSD,入门级游戏独立显卡
5199.0,//item.jd.com/100010903942.html,华为MateBook D,none,none,none,none,中国大陆,none,Windows 10,none,8G,512G SSD,入门级游戏独立显卡
4299.0,//item.jd.com/100011051310.html,宏碁Extensa,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,none,中国大陆,none,Windows 10,none,8G,512G SSD,MX250
6699.0,//item.jd.com/100004501764.html,ThinkPadT,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,256G SSD,集成显卡
4199.0,//item.jd.com/100005744148.html,联想威6系列,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,8G,256G SSD,集成显卡
8599.0,//item.jd.com/100013068426.html,戴尔G5,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,windows 10 Office,6G,8G,512G SSD,RTX2060
3899.0,//item.jd.com/100010947788.html,华为荣耀MagicBook,1.5-2kg,15.1mm—18.0mm,15-15.9英寸,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
6899.0,//item.jd.com/100012345038.html,雷神911Air星战,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,其他,4G,8G,512G SSD,GTX1650Ti
5299.0,//item.jd.com/61100836128.html,ThinkPadS2 2020,none,15.1mm—18.0mm,none,none,none,none,Windows 10,none,none,none,none
3799.0,//item.jd.com/43674800855.html,联想（Lenovo）联想扬天V330,2-2.5kg,18.1mm—20.0mm,none,小于5小时,中国大陆,none,Windows 10,2GB,8G,none,高性能游戏独立显卡
6999.0,//item.jd.com/100008492048.html,联想小新Air,1.5-2kg,15.1mm—18.0mm,none,＞12小时,中国大陆,none,Windows 10,none,12G,none,MX250
3899.0,//item.jd.com/66619399596.html,华硕（ASUS）Y4200FB,1.5-2kg,20.0mm以上,none,小于5小时,none,none,Windows 10,2GB,4G,256G SSD,入门级游戏独立显卡
12999.0,//item.jd.com/100003471645.html,惠普暗影精灵RTX,2-2.5kg,20.0mm—25.0mm,15.6英寸,5-7小时,中国大陆,72%NTSC,windows 10 Office,其他,16G,512G SSD+1T HDD,其他
8999.0,//item.jd.com/100012180100.html,机械师F117-V,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,其他,6G,16G,512G SSD+1T HDD,RTX2060
4199.0,//item.jd.com/100011454290.html,联想Lenovo V14-IWL,2-2.5kg,none,none,none,中国大陆,none,Windows 10,2GB,8G,256G SSD,入门级游戏独立显卡
5299.0,//item.jd.com/69199960590.html,华硕（ASUS）V4050FP,none,15.1mm—18.0mm,14-14.9英寸,none,none,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
5499.0,//item.jd.com/100012522522.html,惠普星14,1.5-2kg,15.1mm—18.0mm,14-14.9英寸,none,中国大陆,none,Windows 10,2GB,16G,512G SSD,MX330
10499.0,//item.jd.com/100008656642.html,ThinkPadT590,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,5-7小时,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
16999.0,//item.jd.com/100012607932.html,微星绝影2 GS66,2-2.5kg,20.0mm以下,15.6英寸,小于5小时,中国大陆,72%NTSC,windows 10 不带Office,8G,16G,none,RTX MaxQ
9999.0,//item.jd.com/100006567148.html,戴尔XPS15,1.5-2kg,15.1mm—18.0mm,15-15.9英寸,7-9小时,中国大陆,none,Windows 10,none,8G,512G SSD,集成显卡
3999.0,//item.jd.com/100008645054.html,华硕FL8700,1.5-2kg,20.0mm以上,15-15.9英寸,小于5小时,中国大陆,none,Windows 10,none,4G,256G SSD,入门级游戏独立显卡
6198.0,//item.jd.com/48976581388.html,联想（Lenovo）拯救者R7000,2-2.5kg,25.0mm以上,15.6英寸,7-9小时,中国大陆,none,windows 10 Office,4G,16G,512G SSD,其他
4899.0,//item.jd.com/100008885178.html,惠普星13,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,9小时以上,中国大陆,72%NTSC,Windows 10,其它,8G,512G SSD,集成显卡
6299.0,//item.jd.com/67144459772.html,雷神（ThundeRobot）雷神911ST暗杀星2代,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,其他,4G,none,512G SSD,其他
19999.0,//item.jd.com/100008895710.html,ThinkPadX1 Carbon,none,15.0mm及以下,14-14.9英寸,9小时以上,中国大陆,none,Windows 10,none,16G,none,集成显卡
6579.0,//item.jd.com/100005900849.html,机械革命深海幽灵Z2 Air,1.5-2kg,20.0mm以下,15.6英寸,小于5小时,中国大陆,72%NTSC,windows 10 Office,4G,16G,512G SSD,GTX1650
5399.0,//item.jd.com/100005442491.html,惠普星15,1.5-2kg,15.1mm—18.0mm,none,none,中国大陆,none,Windows 10,2GB,none,none,none
6699.0,//item.jd.com/67836424584.html,机械师（MACHENIKE）F117-V,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,none,none,windows 10 不带Office,4G,8G,512G SSD,GTX1650Ti
16999.0,//item.jd.com/100010341886.html,戴尔XPS 13,1-1.5KG,15.0mm及以下,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,16G,512G SSD,集成显卡
8199.0,//item.jd.com/67144459775.html,雷神（ThundeRobot）雷神911ST暗杀星2代,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,其他,6G,none,512G SSD,其他
12999.0,//item.jd.com/100004920168.html,戴尔G7,2.5kg以上,20.0mm以下,15.6英寸,5-7小时,中国大陆,none,windows 10 Office,6G,16G,512G SSD,GTX1660Ti
4899.0,//item.jd.com/100008395662.html,华硕a豆,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,none,中国大陆,none,Windows 10,none,8G,256G SSD,其他
16688.0,//item.jd.com/100009996786.html,微软Surface Laptop 3,1.5-2kg,15.0mm及以下,15-15.9英寸,9小时以上,中国大陆,none,Windows 10,none,16G,512G SSD,集成显卡
8999.0,//item.jd.com/100011605990.html,ThinkPadT,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,256G SSD,入门级游戏独立显卡
3099.0,//item.jd.com/44075986106.html,联想（Lenovo）联想扬天V110,2-2.5kg,18.1mm—20.0mm,none,小于5小时,中国大陆,none,Windows 10,共享系统内存（集成）,4G,256G SSD,none
11999.0,//item.jd.com/7650097.html,雷蛇灵刃15精英版,2-2.5kg,20.0mm以下,none,5-7小时,中国大陆,none,none,8G,none,none,none
13999.0,//item.jd.com/41352840945.html,联想（Lenovo）YOGA S940,1-1.5KG,15.1mm—18.0mm,none,none,中国大陆,none,Windows 10,none,16G,none,none
5299.0,//item.jd.com/100011213628.html,ThinkPadE495,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,none,中国大陆,none,Windows 10,none,16G,512G SSD,集成显卡
7499.0,//item.jd.com/100004916200.html,雷神新911,2-2.5kg,20.0mm—25.0mm,16.6英寸,小于5小时,中国大陆,72%NTSC,windows 10 不带Office,6G,8G,512G SSD,GTX1660Ti
